# Program:featureCounts v2.0.0; Command:"featureCounts" "-a" "assembly/annotation.gff" "-F" "gff" "-t" "CDS" "-g" "ID" "-o" "assembly/counts.txt" "assembly/contigs.bam" 
Geneid	Chr	Start	End	Strand	Length	assembly/contigs.bam
LIHFGKIE_00320	NODE_3_length_144563_cov_45.849823	23216	24091	+	876	351
LIHFGKIE_00321	NODE_3_length_144563_cov_45.849823	24202	25587	+	1386	543
LIHFGKIE_00322	NODE_3_length_144563_cov_45.849823	25595	27493	+	1899	856
LIHFGKIE_00323	NODE_3_length_144563_cov_45.849823	27862	29670	+	1809	876
LIHFGKIE_00324	NODE_3_length_144563_cov_45.849823	30456	31859	+	1404	684
LIHFGKIE_00325	NODE_3_length_144563_cov_45.849823	31960	33519	+	1560	734
LIHFGKIE_00326	NODE_3_length_144563_cov_45.849823	33629	34054	-	426	143
LIHFGKIE_00327	NODE_3_length_144563_cov_45.849823	34032	34403	-	372	154
LIHFGKIE_00328	NODE_3_length_144563_cov_45.849823	34587	35444	+	858	498
LIHFGKIE_00329	NODE_3_length_144563_cov_45.849823	35890	37230	+	1341	628
LIHFGKIE_00330	NODE_3_length_144563_cov_45.849823	37310	38668	+	1359	514
LIHFGKIE_00331	NODE_3_length_144563_cov_45.849823	38756	39688	+	933	348
LIHFGKIE_00332	NODE_3_length_144563_cov_45.849823	39688	40071	+	384	99
LIHFGKIE_00333	NODE_3_length_144563_cov_45.849823	40151	40732	+	582	328
LIHFGKIE_00334	NODE_3_length_144563_cov_45.849823	41046	42155	+	1110	528
LIHFGKIE_00335	NODE_3_length_144563_cov_45.849823	42216	42368	+	153	11
LIHFGKIE_00336	NODE_3_length_144563_cov_45.849823	42425	43789	-	1365	593
LIHFGKIE_00337	NODE_3_length_144563_cov_45.849823	43915	44469	-	555	297
LIHFGKIE_00338	NODE_3_length_144563_cov_45.849823	44562	45206	+	645	227
LIHFGKIE_00339	NODE_3_length_144563_cov_45.849823	45198	47138	-	1941	745
LIHFGKIE_00340	NODE_3_length_144563_cov_45.849823	47138	47425	-	288	24
LIHFGKIE_00341	NODE_3_length_144563_cov_45.849823	47438	47815	-	378	89
LIHFGKIE_00342	NODE_3_length_144563_cov_45.849823	47831	48271	-	441	196
LIHFGKIE_00343	NODE_3_length_144563_cov_45.849823	48388	49116	-	729	302
LIHFGKIE_00344	NODE_3_length_144563_cov_45.849823	49127	49483	-	357	109
LIHFGKIE_00345	NODE_3_length_144563_cov_45.849823	49626	49880	-	255	118
LIHFGKIE_00346	NODE_3_length_144563_cov_45.849823	49980	51290	-	1311	594
LIHFGKIE_00347	NODE_3_length_144563_cov_45.849823	51444	52217	+	774	359
LIHFGKIE_00348	NODE_3_length_144563_cov_45.849823	52255	53508	-	1254	497
LIHFGKIE_00349	NODE_3_length_144563_cov_45.849823	53597	53974	-	378	89
LIHFGKIE_00350	NODE_3_length_144563_cov_45.849823	53978	54583	-	606	254
LIHFGKIE_00351	NODE_3_length_144563_cov_45.849823	54947	55390	-	444	283
LIHFGKIE_00352	NODE_3_length_144563_cov_45.849823	55572	55904	-	333	116
LIHFGKIE_00353	NODE_3_length_144563_cov_45.849823	55894	56160	-	267	84
LIHFGKIE_00354	NODE_3_length_144563_cov_45.849823	56327	57637	-	1311	663
LIHFGKIE_00355	NODE_3_length_144563_cov_45.849823	57821	58546	+	726	339
LIHFGKIE_00356	NODE_3_length_144563_cov_45.849823	58631	59818	-	1188	431
LIHFGKIE_00357	NODE_3_length_144563_cov_45.849823	59920	60123	-	204	120
LIHFGKIE_00358	NODE_3_length_144563_cov_45.849823	60826	61119	+	294	224
LIHFGKIE_00359	NODE_3_length_144563_cov_45.849823	61375	62526	-	1152	523
LIHFGKIE_00360	NODE_3_length_144563_cov_45.849823	62526	62768	-	243	115
LIHFGKIE_00361	NODE_3_length_144563_cov_45.849823	63399	64088	-	690	346
LIHFGKIE_00362	NODE_3_length_144563_cov_45.849823	64461	65768	-	1308	685
LIHFGKIE_00363	NODE_3_length_144563_cov_45.849823	65998	66798	+	801	347
LIHFGKIE_00364	NODE_3_length_144563_cov_45.849823	66846	67304	-	459	185
LIHFGKIE_00365	NODE_3_length_144563_cov_45.849823	67419	68105	-	687	261
LIHFGKIE_00366	NODE_3_length_144563_cov_45.849823	68123	68770	-	648	345
LIHFGKIE_00367	NODE_3_length_144563_cov_45.849823	69065	69784	-	720	364
LIHFGKIE_00368	NODE_3_length_144563_cov_45.849823	69911	70738	+	828	434
LIHFGKIE_00369	NODE_3_length_144563_cov_45.849823	70844	71800	-	957	345
LIHFGKIE_00370	NODE_3_length_144563_cov_45.849823	71800	72948	-	1149	427
LIHFGKIE_00371	NODE_3_length_144563_cov_45.849823	72941	74479	-	1539	475
LIHFGKIE_00372	NODE_3_length_144563_cov_45.849823	74561	75646	-	1086	386
LIHFGKIE_00373	NODE_3_length_144563_cov_45.849823	75732	76883	-	1152	525
LIHFGKIE_00374	NODE_3_length_144563_cov_45.849823	77189	77794	+	606	268
LIHFGKIE_00375	NODE_3_length_144563_cov_45.849823	77886	80624	-	2739	1181
LIHFGKIE_00376	NODE_3_length_144563_cov_45.849823	80731	83070	-	2340	848
LIHFGKIE_00377	NODE_3_length_144563_cov_45.849823	83085	84188	-	1104	388
LIHFGKIE_00378	NODE_3_length_144563_cov_45.849823	84280	84933	+	654	234
LIHFGKIE_00379	NODE_3_length_144563_cov_45.849823	84962	85831	-	870	312
LIHFGKIE_00380	NODE_3_length_144563_cov_45.849823	85938	87206	+	1269	580
LIHFGKIE_00381	NODE_3_length_144563_cov_45.849823	87434	87790	+	357	168
LIHFGKIE_00382	NODE_3_length_144563_cov_45.849823	87868	88728	-	861	373
LIHFGKIE_00383	NODE_3_length_144563_cov_45.849823	88823	89440	+	618	344
LIHFGKIE_00384	NODE_3_length_144563_cov_45.849823	89785	91344	+	1560	631
LIHFGKIE_00385	NODE_3_length_144563_cov_45.849823	91384	92553	-	1170	451
LIHFGKIE_00386	NODE_3_length_144563_cov_45.849823	92708	93364	-	657	340
LIHFGKIE_00387	NODE_3_length_144563_cov_45.849823	93511	95373	-	1863	826
LIHFGKIE_00388	NODE_3_length_144563_cov_45.849823	95493	95963	-	471	293
LIHFGKIE_00389	NODE_3_length_144563_cov_45.849823	96547	97683	+	1137	500
LIHFGKIE_00390	NODE_3_length_144563_cov_45.849823	97709	98005	+	297	89
LIHFGKIE_00391	NODE_3_length_144563_cov_45.849823	98154	98306	+	153	40
LIHFGKIE_00392	NODE_3_length_144563_cov_45.849823	98322	99836	+	1515	645
LIHFGKIE_00393	NODE_3_length_144563_cov_45.849823	99836	101074	+	1239	539
LIHFGKIE_00394	NODE_3_length_144563_cov_45.849823	101133	101372	+	240	33
LIHFGKIE_00395	NODE_3_length_144563_cov_45.849823	101365	102651	+	1287	528
LIHFGKIE_00396	NODE_3_length_144563_cov_45.849823	102651	103592	+	942	466
LIHFGKIE_00397	NODE_3_length_144563_cov_45.849823	103908	104624	+	717	392
LIHFGKIE_00398	NODE_3_length_144563_cov_45.849823	104696	105646	-	951	452
LIHFGKIE_00399	NODE_3_length_144563_cov_45.849823	105936	107552	+	1617	780
LIHFGKIE_00400	NODE_3_length_144563_cov_45.849823	107655	107891	-	237	63
LIHFGKIE_00401	NODE_3_length_144563_cov_45.849823	107938	110478	-	2541	940
LIHFGKIE_00402	NODE_3_length_144563_cov_45.849823	110488	111192	-	705	217
LIHFGKIE_00403	NODE_3_length_144563_cov_45.849823	111283	112590	+	1308	393
LIHFGKIE_00404	NODE_3_length_144563_cov_45.849823	112571	113461	+	891	350
LIHFGKIE_00405	NODE_3_length_144563_cov_45.849823	113792	115918	+	2127	977
LIHFGKIE_00406	NODE_3_length_144563_cov_45.849823	116028	116660	+	633	248
LIHFGKIE_00407	NODE_3_length_144563_cov_45.849823	116754	118172	+	1419	568
LIHFGKIE_00408	NODE_3_length_144563_cov_45.849823	118245	119618	+	1374	540
LIHFGKIE_00409	NODE_3_length_144563_cov_45.849823	119828	120556	+	729	299
LIHFGKIE_00410	NODE_3_length_144563_cov_45.849823	120569	121960	+	1392	563
LIHFGKIE_00411	NODE_3_length_144563_cov_45.849823	122025	123038	-	1014	468
LIHFGKIE_00412	NODE_3_length_144563_cov_45.849823	123474	124532	+	1059	509
LIHFGKIE_00415	NODE_3_length_144563_cov_45.849823	124963	125955	-	993	564
LIHFGKIE_00416	NODE_3_length_144563_cov_45.849823	126153	127442	+	1290	631
LIHFGKIE_00417	NODE_3_length_144563_cov_45.849823	127446	128744	+	1299	566
LIHFGKIE_00418	NODE_3_length_144563_cov_45.849823	128858	129181	+	324	150
LIHFGKIE_00419	NODE_3_length_144563_cov_45.849823	129274	129633	+	360	162
LIHFGKIE_00420	NODE_3_length_144563_cov_45.849823	129738	130232	+	495	151
LIHFGKIE_00421	NODE_3_length_144563_cov_45.849823	130258	131655	-	1398	599
LIHFGKIE_00422	NODE_3_length_144563_cov_45.849823	131834	132865	-	1032	471
LIHFGKIE_00423	NODE_3_length_144563_cov_45.849823	132977	133609	+	633	207
LIHFGKIE_00424	NODE_3_length_144563_cov_45.849823	133624	134268	+	645	223
LIHFGKIE_00425	NODE_3_length_144563_cov_45.849823	134334	134999	+	666	252
LIHFGKIE_00426	NODE_3_length_144563_cov_45.849823	135082	136002	+	921	306
LIHFGKIE_00427	NODE_3_length_144563_cov_45.849823	136080	137009	+	930	292
LIHFGKIE_00428	NODE_3_length_144563_cov_45.849823	137030	137311	-	282	21
LIHFGKIE_00429	NODE_3_length_144563_cov_45.849823	137301	137618	-	318	100
LIHFGKIE_00430	NODE_3_length_144563_cov_45.849823	137709	138059	-	351	170
LIHFGKIE_00431	NODE_3_length_144563_cov_45.849823	138254	138739	+	486	188
LIHFGKIE_00432	NODE_3_length_144563_cov_45.849823	138784	139470	-	687	283
LIHFGKIE_00433	NODE_3_length_144563_cov_45.849823	139839	140249	-	411	232
LIHFGKIE_00434	NODE_3_length_144563_cov_45.849823	140443	142047	+	1605	632
LIHFGKIE_00435	NODE_3_length_144563_cov_45.849823	142289	143515	+	1227	475
LIHFGKIE_00436	NODE_3_length_144563_cov_45.849823	143709	143984	+	276	98
LIHFGKIE_00437	NODE_3_length_144563_cov_45.849823	143981	144238	+	258	92
LIHFGKIE_00438	NODE_4_length_111554_cov_27.505057	247	1077	+	831	257
LIHFGKIE_00439	NODE_4_length_111554_cov_27.505057	1091	2092	+	1002	230
LIHFGKIE_00440	NODE_4_length_111554_cov_27.505057	2409	2750	+	342	63
LIHFGKIE_00441	NODE_4_length_111554_cov_27.505057	2731	3006	+	276	30
LIHFGKIE_00442	NODE_4_length_111554_cov_27.505057	3065	4300	+	1236	329
LIHFGKIE_00443	NODE_4_length_111554_cov_27.505057	4404	5996	+	1593	398
LIHFGKIE_00444	NODE_4_length_111554_cov_27.505057	6043	6870	-	828	233
LIHFGKIE_00445	NODE_4_length_111554_cov_27.505057	6986	8605	+	1620	433
LIHFGKIE_00446	NODE_4_length_111554_cov_27.505057	8715	8960	+	246	58
LIHFGKIE_00447	NODE_4_length_111554_cov_27.505057	9086	10453	+	1368	331
LIHFGKIE_00448	NODE_4_length_111554_cov_27.505057	10467	11951	+	1485	341
LIHFGKIE_00449	NODE_4_length_111554_cov_27.505057	12034	12390	+	357	49
LIHFGKIE_00450	NODE_4_length_111554_cov_27.505057	12395	13525	+	1131	249
LIHFGKIE_00451	NODE_4_length_111554_cov_27.505057	13590	14297	-	708	253
LIHFGKIE_00452	NODE_4_length_111554_cov_27.505057	14469	15440	-	972	320
LIHFGKIE_00453	NODE_4_length_111554_cov_27.505057	15577	16134	+	558	136
LIHFGKIE_00454	NODE_4_length_111554_cov_27.505057	16136	19630	+	3495	853
LIHFGKIE_00455	NODE_4_length_111554_cov_27.505057	19646	19888	+	243	34
LIHFGKIE_00456	NODE_4_length_111554_cov_27.505057	19956	20333	+	378	44
LIHFGKIE_00457	NODE_4_length_111554_cov_27.505057	20333	20695	+	363	44
LIHFGKIE_00458	NODE_4_length_111554_cov_27.505057	20734	21987	+	1254	237
LIHFGKIE_00459	NODE_4_length_111554_cov_27.505057	22082	24250	+	2169	532
LIHFGKIE_00460	NODE_4_length_111554_cov_27.505057	24303	25193	+	891	242
LIHFGKIE_00461	NODE_4_length_111554_cov_27.505057	25271	26296	+	1026	248
LIHFGKIE_00462	NODE_4_length_111554_cov_27.505057	26312	27859	+	1548	462
LIHFGKIE_00463	NODE_4_length_111554_cov_27.505057	28087	29073	+	987	318
LIHFGKIE_00464	NODE_4_length_111554_cov_27.505057	29178	32774	+	3597	970
LIHFGKIE_00465	NODE_4_length_111554_cov_27.505057	33453	33599	+	147	69
LIHFGKIE_00466	NODE_4_length_111554_cov_27.505057	33742	34209	+	468	136
LIHFGKIE_00470	NODE_4_length_111554_cov_27.505057	34800	35255	+	456	114
LIHFGKIE_00471	NODE_4_length_111554_cov_27.505057	35360	37840	+	2481	628
LIHFGKIE_00472	NODE_4_length_111554_cov_27.505057	38062	41700	+	3639	1123
LIHFGKIE_00473	NODE_4_length_111554_cov_27.505057	41716	45375	+	3660	979
LIHFGKIE_00474	NODE_4_length_111554_cov_27.505057	45438	46121	-	684	176
LIHFGKIE_00475	NODE_4_length_111554_cov_27.505057	46303	46710	+	408	122
LIHFGKIE_00476	NODE_4_length_111554_cov_27.505057	46726	47196	+	471	77
LIHFGKIE_00477	NODE_4_length_111554_cov_27.505057	47230	49323	+	2094	646
LIHFGKIE_00478	NODE_4_length_111554_cov_27.505057	49639	49947	+	309	106
LIHFGKIE_00479	NODE_4_length_111554_cov_27.505057	49971	50609	+	639	143
LIHFGKIE_00480	NODE_4_length_111554_cov_27.505057	50624	51241	+	618	117
LIHFGKIE_00481	NODE_4_length_111554_cov_27.505057	51241	51546	+	306	35
LIHFGKIE_00482	NODE_4_length_111554_cov_27.505057	51562	52398	+	837	188
LIHFGKIE_00483	NODE_4_length_111554_cov_27.505057	52417	52701	+	285	30
LIHFGKIE_00484	NODE_4_length_111554_cov_27.505057	52721	53074	+	354	35
LIHFGKIE_00485	NODE_4_length_111554_cov_27.505057	53088	53762	+	675	101
LIHFGKIE_00486	NODE_4_length_111554_cov_27.505057	53762	54202	+	441	58
LIHFGKIE_00487	NODE_4_length_111554_cov_27.505057	54192	54389	+	198	5
LIHFGKIE_00488	NODE_4_length_111554_cov_27.505057	54408	54674	+	267	28
LIHFGKIE_00489	NODE_4_length_111554_cov_27.505057	54706	55074	+	369	55
LIHFGKIE_00490	NODE_4_length_111554_cov_27.505057	55094	55330	+	237	9
LIHFGKIE_00491	NODE_4_length_111554_cov_27.505057	55345	55887	+	543	70
LIHFGKIE_00492	NODE_4_length_111554_cov_27.505057	55900	56085	+	186	8
LIHFGKIE_00493	NODE_4_length_111554_cov_27.505057	56110	56508	+	399	47
LIHFGKIE_00494	NODE_4_length_111554_cov_27.505057	56533	57063	+	531	103
LIHFGKIE_00495	NODE_4_length_111554_cov_27.505057	57090	57446	+	357	35
LIHFGKIE_00496	NODE_4_length_111554_cov_27.505057	57464	57970	+	507	97
LIHFGKIE_00497	NODE_4_length_111554_cov_27.505057	57988	58173	+	186	0
LIHFGKIE_00498	NODE_4_length_111554_cov_27.505057	58197	58637	+	441	55
LIHFGKIE_00499	NODE_4_length_111554_cov_27.505057	58637	59932	+	1296	359
LIHFGKIE_00500	NODE_4_length_111554_cov_27.505057	59943	60599	+	657	153
LIHFGKIE_00501	NODE_4_length_111554_cov_27.505057	60675	60896	+	222	32
LIHFGKIE_00502	NODE_4_length_111554_cov_27.505057	60913	61029	+	117	0
LIHFGKIE_00503	NODE_4_length_111554_cov_27.505057	61050	61400	+	351	43
LIHFGKIE_00504	NODE_4_length_111554_cov_27.505057	61425	61814	+	390	70
LIHFGKIE_00505	NODE_4_length_111554_cov_27.505057	61860	62798	+	939	208
LIHFGKIE_00506	NODE_4_length_111554_cov_27.505057	62826	63209	+	384	118
LIHFGKIE_00507	NODE_4_length_111554_cov_27.505057	63394	64245	+	852	191
LIHFGKIE_00508	NODE_4_length_111554_cov_27.505057	64221	65066	+	846	123
LIHFGKIE_00509	NODE_4_length_111554_cov_27.505057	65070	65867	+	798	118
LIHFGKIE_00510	NODE_4_length_111554_cov_27.505057	65872	66660	+	789	152
LIHFGKIE_00511	NODE_4_length_111554_cov_27.505057	66765	67208	+	444	84
LIHFGKIE_00512	NODE_4_length_111554_cov_27.505057	67220	67615	+	396	107
LIHFGKIE_00513	NODE_4_length_111554_cov_27.505057	67867	69420	+	1554	491
LIHFGKIE_00514	NODE_4_length_111554_cov_27.505057	69642	70091	+	450	120
LIHFGKIE_00515	NODE_4_length_111554_cov_27.505057	70120	70704	-	585	84
LIHFGKIE_00516	NODE_4_length_111554_cov_27.505057	70741	71400	-	660	120
LIHFGKIE_00517	NODE_4_length_111554_cov_27.505057	71474	72232	+	759	137
LIHFGKIE_00518	NODE_4_length_111554_cov_27.505057	72275	72955	+	681	144
LIHFGKIE_00519	NODE_4_length_111554_cov_27.505057	73016	73915	+	900	201
LIHFGKIE_00520	NODE_4_length_111554_cov_27.505057	73924	74106	+	183	2
LIHFGKIE_00521	NODE_4_length_111554_cov_27.505057	74118	74798	+	681	160
LIHFGKIE_00522	NODE_4_length_111554_cov_27.505057	74909	75844	+	936	248
LIHFGKIE_00523	NODE_4_length_111554_cov_27.505057	75906	77255	-	1350	288
LIHFGKIE_00524	NODE_4_length_111554_cov_27.505057	77324	77623	-	300	67
LIHFGKIE_00525	NODE_4_length_111554_cov_27.505057	77755	78306	+	552	113
LIHFGKIE_00526	NODE_4_length_111554_cov_27.505057	78306	79682	+	1377	329
LIHFGKIE_00527	NODE_4_length_111554_cov_27.505057	79760	81259	+	1500	379
LIHFGKIE_00528	NODE_4_length_111554_cov_27.505057	81350	82783	+	1434	318
LIHFGKIE_00529	NODE_4_length_111554_cov_27.505057	82776	83219	+	444	67
LIHFGKIE_00530	NODE_4_length_111554_cov_27.505057	83206	83961	+	756	181
LIHFGKIE_00531	NODE_4_length_111554_cov_27.505057	84095	84640	+	546	135
LIHFGKIE_00532	NODE_4_length_111554_cov_27.505057	84704	84922	+	219	37
LIHFGKIE_00533	NODE_4_length_111554_cov_27.505057	85039	86547	+	1509	341
LIHFGKIE_00534	NODE_4_length_111554_cov_27.505057	86594	88339	-	1746	398
LIHFGKIE_00535	NODE_4_length_111554_cov_27.505057	88684	88854	+	171	84
LIHFGKIE_00536	NODE_4_length_111554_cov_27.505057	88963	89520	+	558	146
LIHFGKIE_00537	NODE_4_length_111554_cov_27.505057	89651	90076	+	426	106
LIHFGKIE_00538	NODE_4_length_111554_cov_27.505057	90154	90846	+	693	218
LIHFGKIE_00539	NODE_4_length_111554_cov_27.505057	90966	91832	+	867	203
LIHFGKIE_00540	NODE_4_length_111554_cov_27.505057	91836	92831	+	996	204
LIHFGKIE_00541	NODE_4_length_111554_cov_27.505057	92833	93720	+	888	130
LIHFGKIE_00542	NODE_4_length_111554_cov_27.505057	93729	94523	+	795	132
LIHFGKIE_00543	NODE_4_length_111554_cov_27.505057	94525	95280	+	756	113
LIHFGKIE_00544	NODE_4_length_111554_cov_27.505057	95298	95975	+	678	169
LIHFGKIE_00545	NODE_4_length_111554_cov_27.505057	96260	96655	-	396	129
LIHFGKIE_00546	NODE_4_length_111554_cov_27.505057	96737	97015	+	279	92
LIHFGKIE_00547	NODE_4_length_111554_cov_27.505057	97219	97731	+	513	148
LIHFGKIE_00548	NODE_4_length_111554_cov_27.505057	97784	98146	+	363	56
LIHFGKIE_00549	NODE_4_length_111554_cov_27.505057	98223	99065	+	843	190
LIHFGKIE_00550	NODE_4_length_111554_cov_27.505057	99071	99691	+	621	111
LIHFGKIE_00551	NODE_4_length_111554_cov_27.505057	99819	100001	+	183	25
LIHFGKIE_00552	NODE_4_length_111554_cov_27.505057	100076	100576	+	501	137
LIHFGKIE_00553	NODE_4_length_111554_cov_27.505057	100782	102587	+	1806	464
LIHFGKIE_00554	NODE_4_length_111554_cov_27.505057	102832	103107	+	276	63
LIHFGKIE_00555	NODE_4_length_111554_cov_27.505057	103116	103346	+	231	4
LIHFGKIE_00556	NODE_4_length_111554_cov_27.505057	103362	103697	+	336	31
LIHFGKIE_00557	NODE_4_length_111554_cov_27.505057	103698	104297	+	600	85
LIHFGKIE_00558	NODE_4_length_111554_cov_27.505057	104297	104536	+	240	21
LIHFGKIE_00559	NODE_4_length_111554_cov_27.505057	104639	105277	+	639	116
LIHFGKIE_00560	NODE_4_length_111554_cov_27.505057	105290	105610	+	321	18
LIHFGKIE_00561	NODE_4_length_111554_cov_27.505057	105610	106467	+	858	128
LIHFGKIE_00562	NODE_4_length_111554_cov_27.505057	106477	106827	+	351	20
LIHFGKIE_00563	NODE_4_length_111554_cov_27.505057	106827	107678	+	852	132
LIHFGKIE_00564	NODE_4_length_111554_cov_27.505057	107681	108415	+	735	129
LIHFGKIE_00565	NODE_4_length_111554_cov_27.505057	108471	108989	+	519	55
LIHFGKIE_00566	NODE_4_length_111554_cov_27.505057	109019	109753	+	735	116
LIHFGKIE_00567	NODE_4_length_111554_cov_27.505057	109788	110309	+	522	86
LIHFGKIE_00568	NODE_4_length_111554_cov_27.505057	110306	111355	+	1050	288
LIHFGKIE_00569	NODE_5_length_94944_cov_28.188289	265	1257	+	993	148
LIHFGKIE_00570	NODE_5_length_94944_cov_28.188289	1267	1917	+	651	69
LIHFGKIE_00571	NODE_5_length_94944_cov_28.188289	1929	2537	-	609	68
LIHFGKIE_00572	NODE_5_length_94944_cov_28.188289	2534	3304	-	771	151
LIHFGKIE_00573	NODE_5_length_94944_cov_28.188289	3304	3894	-	591	76
LIHFGKIE_00574	NODE_5_length_94944_cov_28.188289	3887	5269	-	1383	277
LIHFGKIE_00575	NODE_5_length_94944_cov_28.188289	5285	5605	-	321	55
LIHFGKIE_00576	NODE_5_length_94944_cov_28.188289	5719	7089	+	1371	285
LIHFGKIE_00577	NODE_5_length_94944_cov_28.188289	7131	8132	-	1002	209
LIHFGKIE_00578	NODE_5_length_94944_cov_28.188289	8283	9389	+	1107	223
LIHFGKIE_00579	NODE_5_length_94944_cov_28.188289	9449	9817	-	369	37
LIHFGKIE_00580	NODE_5_length_94944_cov_28.188289	9835	10260	-	426	53
LIHFGKIE_00581	NODE_5_length_94944_cov_28.188289	10369	11205	+	837	168
LIHFGKIE_00582	NODE_5_length_94944_cov_28.188289	11608	12264	-	657	176
LIHFGKIE_00583	NODE_5_length_94944_cov_28.188289	12415	13371	-	957	144
LIHFGKIE_00584	NODE_5_length_94944_cov_28.188289	13466	14086	-	621	101
LIHFGKIE_00585	NODE_5_length_94944_cov_28.188289	14086	14892	-	807	145
LIHFGKIE_00586	NODE_5_length_94944_cov_28.188289	14981	15391	+	411	67
LIHFGKIE_00587	NODE_5_length_94944_cov_28.188289	15480	15854	+	375	64
LIHFGKIE_00588	NODE_5_length_94944_cov_28.188289	15908	16219	-	312	46
LIHFGKIE_00589	NODE_5_length_94944_cov_28.188289	16302	18659	-	2358	578
LIHFGKIE_00590	NODE_5_length_94944_cov_28.188289	18717	19028	-	312	39
LIHFGKIE_00591	NODE_5_length_94944_cov_28.188289	19030	19458	-	429	29
LIHFGKIE_00592	NODE_5_length_94944_cov_28.188289	19458	19715	-	258	14
LIHFGKIE_00593	NODE_5_length_94944_cov_28.188289	19776	22415	-	2640	624
LIHFGKIE_00594	NODE_5_length_94944_cov_28.188289	22658	24019	-	1362	351
LIHFGKIE_00595	NODE_5_length_94944_cov_28.188289	24012	24968	-	957	172
LIHFGKIE_00596	NODE_5_length_94944_cov_28.188289	25032	26177	-	1146	210
LIHFGKIE_00597	NODE_5_length_94944_cov_28.188289	26143	27594	-	1452	318
LIHFGKIE_00598	NODE_5_length_94944_cov_28.188289	27698	28090	-	393	74
LIHFGKIE_00599	NODE_5_length_94944_cov_28.188289	28150	29160	-	1011	179
LIHFGKIE_00600	NODE_5_length_94944_cov_28.188289	29209	29796	-	588	106
LIHFGKIE_00601	NODE_5_length_94944_cov_28.188289	29796	31721	-	1926	425
LIHFGKIE_00602	NODE_5_length_94944_cov_28.188289	31721	34318	-	2598	590
LIHFGKIE_00603	NODE_5_length_94944_cov_28.188289	34556	36181	-	1626	453
LIHFGKIE_00604	NODE_5_length_94944_cov_28.188289	36235	36519	-	285	58
LIHFGKIE_00605	NODE_5_length_94944_cov_28.188289	36701	37216	-	516	116
LIHFGKIE_00606	NODE_5_length_94944_cov_28.188289	37262	38230	-	969	267
LIHFGKIE_00607	NODE_5_length_94944_cov_28.188289	38386	40335	-	1950	459
LIHFGKIE_00608	NODE_5_length_94944_cov_28.188289	40545	42002	+	1458	341
LIHFGKIE_00609	NODE_5_length_94944_cov_28.188289	42018	43004	+	987	219
LIHFGKIE_00610	NODE_5_length_94944_cov_28.188289	43042	43677	-	636	148
LIHFGKIE_00611	NODE_5_length_94944_cov_28.188289	43853	45775	+	1923	450
LIHFGKIE_00612	NODE_5_length_94944_cov_28.188289	45823	46440	-	618	150
LIHFGKIE_00613	NODE_5_length_94944_cov_28.188289	47254	48480	+	1227	1326
LIHFGKIE_00614	NODE_5_length_94944_cov_28.188289	48664	48942	+	279	65
LIHFGKIE_00615	NODE_5_length_94944_cov_28.188289	48998	49396	+	399	82
LIHFGKIE_00616	NODE_5_length_94944_cov_28.188289	49446	52097	-	2652	600
LIHFGKIE_00617	NODE_5_length_94944_cov_28.188289	52277	52963	-	687	232
LIHFGKIE_00618	NODE_5_length_94944_cov_28.188289	53104	54375	+	1272	415
LIHFGKIE_00619	NODE_5_length_94944_cov_28.188289	54518	55168	-	651	175
LIHFGKIE_00620	NODE_5_length_94944_cov_28.188289	55229	55885	-	657	221
LIHFGKIE_00621	NODE_5_length_94944_cov_28.188289	56074	58380	+	2307	777
LIHFGKIE_00622	NODE_5_length_94944_cov_28.188289	58814	59461	+	648	156
LIHFGKIE_00623	NODE_5_length_94944_cov_28.188289	59475	60095	+	621	98
LIHFGKIE_00624	NODE_5_length_94944_cov_28.188289	60099	60914	+	816	154
LIHFGKIE_00625	NODE_5_length_94944_cov_28.188289	60916	61365	+	450	61
LIHFGKIE_00626	NODE_5_length_94944_cov_28.188289	61362	61919	-	558	94
LIHFGKIE_00627	NODE_5_length_94944_cov_28.188289	61979	62893	+	915	279
LIHFGKIE_00628	NODE_5_length_94944_cov_28.188289	63011	63586	+	576	183
LIHFGKIE_00629	NODE_5_length_94944_cov_28.188289	63633	64220	-	588	196
LIHFGKIE_00630	NODE_5_length_94944_cov_28.188289	64347	64742	-	396	158
LIHFGKIE_00631	NODE_5_length_94944_cov_28.188289	65043	66689	+	1647	435
LIHFGKIE_00632	NODE_5_length_94944_cov_28.188289	66779	67234	+	456	78
LIHFGKIE_00633	NODE_5_length_94944_cov_28.188289	67234	67758	+	525	119
LIHFGKIE_00634	NODE_5_length_94944_cov_28.188289	67820	68431	-	612	147
LIHFGKIE_00635	NODE_5_length_94944_cov_28.188289	68449	68997	-	549	103
LIHFGKIE_00636	NODE_5_length_94944_cov_28.188289	69116	70459	-	1344	298
LIHFGKIE_00637	NODE_5_length_94944_cov_28.188289	70437	71156	-	720	136
LIHFGKIE_00638	NODE_5_length_94944_cov_28.188289	71214	72131	-	918	233
LIHFGKIE_00639	NODE_5_length_94944_cov_28.188289	72253	73857	+	1605	453
LIHFGKIE_00640	NODE_5_length_94944_cov_28.188289	74006	74746	+	741	196
LIHFGKIE_00641	NODE_5_length_94944_cov_28.188289	74790	75101	-	312	98
LIHFGKIE_00642	NODE_5_length_94944_cov_28.188289	75358	76098	+	741	225
LIHFGKIE_00643	NODE_5_length_94944_cov_28.188289	76202	76651	+	450	98
LIHFGKIE_00644	NODE_5_length_94944_cov_28.188289	76651	77298	+	648	131
